type,date,hour,kg,price,total,importe,concept,comment
ing,16/08/2023,11:30:58,960.0,6.7,6432.0,0.0,pago,guero nevarez
gas,16/08/2023,11:47:16,0.0,0.0,0.0,460.0,lalo,450+10cam
gas,16/08/2023,11:48:01,0.0,0.0,0.0,300.0,tito,300-50pres
ing,16/08/2023,12:19:34,0.0,0.0,1000.0,0.0,abono,alex karla
ing,16/08/2023,12:32:48,247.0,7.0,1729.0,0.0,,davalos
gas,16/08/2023,13:03:40,0.0,0.0,0.0,400.0,plutis,400-50pres
gas,16/08/2023,13:04:33,0.0,0.0,0.0,380.0,pancho,380-100-20-100pres
ing,16/08/2023,13:06:25,0.0,0.0,800.0,0.0,,4 a 200
gas,16/08/2023,13:27:29,0.0,0.0,0.0,560.0,trino,550+10cam-50pres
gas,16/08/2023,13:27:57,0.0,0.0,0.0,360.0,chuy,350-20pres+10cam
gas,21/08/2023,12:04:33,0.0,0.0,0.0,3000.0,gass salida,picha sergio
gas,21/08/2023,12:39:30,0.0,0.0,0.0,50.0,aguas cliente,trabajador carlos sanchez
gas,21/08/2023,12:48:02,0.0,0.0,0.0,100.0,arpillas,30 a 3.3
gas,21/08/2023,12:48:44,0.0,0.0,0.0,245.0,arpillas,66 a 3.3 y 18 a 1.50
ing,21/08/2023,12:52:28,60.0,7.5,450.0,0.0,pago,rocio
gas,21/08/2023,13:06:51,0.0,0.0,0.0,550.0,trino,
gas,21/08/2023,13:19:19,0.0,0.0,0.0,420.0,feo,400-50-100pres+20cam
gas,21/08/2023,13:24:01,0.0,0.0,0.0,370.0,chuy,350+20cam-20pres
gas,21/08/2023,13:24:09,0.0,0.0,0.0,300.0,tito,
gas,21/08/2023,13:25:16,0.0,0.0,0.0,460.0,lalo,450+10cam
gas,21/08/2023,13:26:22,0.0,0.0,0.0,390.0,pancho,380-80-50-50-20pres+10extra
gas,22/08/2023,09:04:22,0.0,0.0,0.0,1200.0,aguas cliente,mariana guma
ing,22/08/2023,11:14:24,450.0,7.0,3150.0,0.0,pago,ray andrade
gas,22/08/2023,11:14:38,0.0,0.0,0.0,200.0,tarimas,pepe saktel it
ing,22/08/2023,11:55:02,0.0,0.0,2800.0,0.0,renta,kike y diego
gas,22/08/2023,12:15:25,0.0,0.0,0.0,400.0,luis,400-50pres
gas,22/08/2023,12:34:30,0.0,0.0,0.0,360.0,chuy,350-20pres+10cam
gas,22/08/2023,12:37:11,0.0,0.0,0.0,430.0,chango,400+20pow+10cam-50pres
gas,22/08/2023,12:37:30,0.0,0.0,0.0,460.0,lalo,450+10cam
gas,22/08/2023,12:37:45,0.0,0.0,0.0,550.0,trino,
gas,22/08/2023,12:49:15,0.0,0.0,0.0,370.0,pancho,350-100-50-50pres+20extra
gas,24/08/2023,07:12:21,0.0,0.0,0.0,100.0,feo,lo metio pichancha por equivocacion
gas,24/08/2023,09:02:42,0.0,0.0,0.0,10.0,trino,
gas,24/08/2023,09:48:54,0.0,0.0,0.0,409.0,arpillas,124 a 3.3
ing,24/08/2023,10:12:38,53.0,7.5,397.5,0.0,gde,
ing,24/08/2023,11:10:02,10.0,7.5,75.0,0.0,,
ing,24/08/2023,11:11:09,195.0,7.5,1462.5,0.0,gde,cam bca cristiano
ing,24/08/2023,11:39:27,80.0,7.5,600.0,0.0,,
ing,24/08/2023,11:45:11,35.0,7.5,262.5,0.0,,
ing,24/08/2023,11:47:13,23.0,7.5,172.5,0.0,,
gas,24/08/2023,11:56:28,0.0,0.0,0.0,480.0,arpillas,145 a 3.3
ing,24/08/2023,11:57:15,0.0,0.0,1400.0,0.0,pago,castillo
ing,24/08/2023,12:20:36,14.0,7.5,105.0,0.0,,
gas,24/08/2023,13:53:35,0.0,0.0,0.0,460.0,lalo,450+10cam
gas,24/08/2023,13:54:20,0.0,0.0,0.0,306.0,tito,300+14aguas-20pres+6extra
gas,24/08/2023,13:54:34,0.0,0.0,0.0,400.0,chuy,400-20pres
gas,24/08/2023,13:54:47,0.0,0.0,0.0,550.0,trino,550-100pres
gas,24/08/2023,13:57:47,0.0,0.0,0.0,480.0,chango,450+20pow-50pres+10cam
gas,24/08/2023,14:03:40,0.0,0.0,0.0,400.0,pancho,400-100-100-50pres
gas,24/08/2023,14:06:51,0.0,0.0,0.0,350.0,plutis,350llego a las 8-50pres
gas,26/08/2023,08:08:48,0.0,0.0,0.0,45.0,gelatinas picha,5 a 9
ing,26/08/2023,08:13:03,50.0,6.8,340.0,0.0,,
ing,26/08/2023,08:20:21,60.0,6.8,408.0,0.0,pago,chaparro
ing,26/08/2023,08:29:05,20.0,7.5,150.0,0.0,,
ing,26/08/2023,08:32:09,36.0,6.8,244.8,0.0,,raul guzman
ing,26/08/2023,08:34:47,11.0,7.5,82.5,0.0,,
ing,26/08/2023,08:37:40,40.0,6.8,272.0,0.0,,juan cruz
ing,26/08/2023,08:39:43,0.0,0.0,170.0,0.0,,comedor
ing,26/08/2023,08:41:19,60.0,7.5,450.0,0.0,gde,
ing,26/08/2023,09:01:23,0.0,0.0,14400.0,0.0,pago,alfonso hdz
gas,26/08/2023,09:08:37,0.0,0.0,0.0,90.0,ayuda cliente,compra de agua de sabe que a trabajador de ernesto
gas,26/08/2023,09:54:00,0.0,0.0,0.0,2450.0,arpillas,700 a 3.5
ing,26/08/2023,10:08:28,90.0,6.88,619.2,0.0,gde,
gas,26/08/2023,12:41:31,0.0,0.0,0.0,560.0,trino,550+10cam-100-50pres
gas,26/08/2023,13:09:27,0.0,0.0,0.0,280.0,giovanni,
